greV,greQ,greA,cgpa,univName
156.0,170.0,3.0,3.77,University Of Illinois At Urbana-Champaign
160.0,170.0,4.5,3.7,"University Of California, San Diego"
156.0,159.0,4.0,3.94,Washington University in St. Louis (WashU/WUSTL)
138.0,160.0,3.0,3.0,University Of Kansas
144.0,167.0,0.0,3.42,"University Of Californa, Los Angeles (UCLA)"
155.0,168.0,3.0,3.91,University Of Texas At Austin
155.0,169.0,3.5,3.67,University Of Texas At Austin
162.0,166.0,5.0,3.95,Oregon State University
162.0,166.0,5.0,3.95,University Of Arizona
162.0,166.0,5.0,3.95,Arizona State University
159.0,164.0,4.0,3.11,University Of Washington
151.0,170.0,3.0,3.72,University Of Washington
162.0,162.0,6.0,3.97,Northeastern University
152.0,167.0,3.5,4.0,"University Of California, Berkeley"
163.0,170.0,4.0,3.74,University Of Texas At Austin
163.0,170.0,4.0,3.74,Purdue University - West Lafayette
157.0,169.0,4.0,3.88,University Of Texas At Austin
155.0,150.0,5.0,3.1,Columbia University
158.0,155.0,4.0,3.3,University Of Oregon
168.0,157.0,5.5,3.4,University Of Minnesota
157.0,156.0,4.5,3.74,Stanford University
161.0,154.0,5.5,3.79,University Of Oxford
147.0,164.0,4.0,3.58,Columbia University
167.0,155.0,4.5,3.92,Northwestern University
152.0,169.0,3.5,3.45,University Of Washington
152.0,169.0,3.5,3.45,University Of Michigan
152.0,168.0,4.0,3.7,Stony Brook University
163.0,168.0,4.5,3.76,University Of Utah
153.0,169.0,3.5,3.37,Rutgers University
153.0,170.0,4.0,9.81,University Of Toronto
166.0,158.0,5.0,3.48,"University Of California, Berkeley"
168.0,170.0,3.0,3.84,Cornell University
170.0,166.0,5.0,3.8,University Of Oxford
170.0,155.0,4.0,3.71,University Of Michigan
170.0,162.0,3.5,3.7,Columbia University
153.0,150.0,4.0,3.65,University Of Virginia
161.0,162.0,4.0,3.77,Columbia University
166.0,167.0,5.0,3.36,"University Of Michigan, Ann Arbor"
162.0,163.0,4.5,3.86,University Of Texas At Austin
166.0,167.0,5.0,3.36,Duke University
161.0,169.0,4.5,3.5,University Of Pittsburgh
166.0,167.0,5.0,3.36,Carnegie Mellon University
166.0,167.0,5.0,3.36,"University Of Michigan, Ann Arbor"
166.0,167.0,5.0,3.36,"University Of Michigan, Ann Arbor"
152.0,168.0,3.5,3.83,Carnegie Mellon University
157.0,158.0,4.0,4.0,University Of Arizona
152.0,166.0,3.5,3.4,University Of Wisconsin-Madison
163.0,167.0,4.0,3.5,McGill University
163.0,167.0,4.0,3.5,UC San Diego (UCSD)
169.0,166.0,4.0,4.0,Stanford University
169.0,166.0,4.0,4.0,Columbia University
168.0,166.0,5.0,3.99,University Of Virginia
158.0,148.0,5.0,3.97,George Mason University
160.0,149.0,4.0,3.48,University Of Arizona
164.0,170.0,5.5,3.99,Cornell University
168.0,151.0,5.0,4.0,University Of Delaware
151.0,157.0,4.0,3.7,University Of Washington
152.0,168.0,3.5,3.58,University Of South Florida
170.0,155.0,5.0,3.5,Duke University
157.0,169.0,4.5,3.93,Columbia University
162.0,170.0,4.0,3.9,Columbia University
165.0,170.0,3.5,3.94,Carnegie Mellon University (CMU)
161.0,167.0,4.5,3.71,University Of Texas At Austin
155.0,165.0,0.0,3.96,Carnegie Mellon University
158.0,169.0,4.5,3.7,Carnegie Mellon University
158.0,153.0,4.0,3.77,University Of Chicago
156.0,169.0,3.5,3.87,University Of Texas At Austin
155.0,170.0,4.0,3.7,University Of Texas At Austin
155.0,170.0,4.0,3.4,University Of Washington
160.0,170.0,5.0,3.9,UC Berkeley
151.0,148.0,4.5,3.93,University Of South Florida
152.0,169.0,4.0,3.8,"University Of California, San Diego"
162.0,166.0,3.0,3.52,University Of Michigan
157.0,159.0,4.5,3.88,University Of Maryland
160.0,169.0,3.5,3.3,NCSU (North Carolina State University)
154.0,169.0,4.0,8.52,UC San Diego (UCSD)
143.0,168.0,2.5,3.78,University Of Kentucky
157.0,146.0,5.0,4.0,University Of South Florida
161.0,167.0,3.5,3.98,University Of Minnesota
155.0,150.0,4.5,3.73,Temple University
165.0,163.0,5.0,3.8,Northwestern University
157.0,159.0,3.5,3.98,Texas A&M University
159.0,165.0,4.0,3.57,Stony Brook University
170.0,160.0,6.0,3.99,Stanford University
155.0,170.0,3.5,3.92,"University Of California, San Diego"
170.0,155.0,3.5,3.92,"University Of California, San Diego"
148.0,167.0,3.5,3.79,Michigan State University
155.0,155.0,4.0,4.0,University Of Michigan
163.0,169.0,4.5,3.84,Columbia University
154.0,170.0,3.5,3.61,University Of Texas At Austin
155.0,165.0,3.5,3.6,University Of Southern California
157.0,161.0,5.5,3.82,University Of Southern California
163.0,169.0,4.5,3.6,University Of Pennsylvania
157.0,167.0,4.0,3.4,Columbia University
157.0,167.0,4.0,3.4,University Of Pennsylvania
166.0,155.0,4.0,3.83,Brown University
152.0,170.0,3.5,3.96,"University Of Californa, Los Angeles (UCLA)"
161.0,162.0,4.0,3.76,University Of Southern California
158.0,160.0,5.0,3.5,"University Of California, Berkeley"
138.0,163.0,3.0,3.83,McGill University
157.0,166.0,4.0,3.33,Stony Brook University
162.0,167.0,5.0,3.7,Columbia University
162.0,169.0,5.0,3.7,University Of Pennsylvania
156.0,164.0,4.0,3.84,University Of Pittsburgh
154.0,170.0,4.0,3.6,Columbia University
151.0,167.0,4.0,3.61,Arizona State University
164.0,170.0,5.5,3.4,University Of Pennsylvania
163.0,166.0,4.5,3.79,"University Of California, Irvine"
154.0,164.0,4.0,3.6,University Of Kentucky
161.0,166.0,4.0,3.82,University Of Pennsylvania
161.0,170.0,5.0,3.7,University Of Pennsylvania
156.0,162.0,3.5,3.36,Indiana University Bloomington
159.0,166.0,5.5,3.76,University Of Southern California
152.0,168.0,3.5,3.6,University Of Southern California
154.0,162.0,4.0,3.62,University Of Florida
154.0,162.0,4.0,3.62,North Carolina State University
161.0,153.0,5.5,3.78,Columbia University
154.0,166.0,4.5,2.7,Oregon State University
155.0,170.0,5.5,3.64,UC Davis
150.0,145.0,5.0,3.92,University Of Delaware
157.0,145.0,0.0,3.01,University Of Southern California
159.0,165.0,5.0,3.7,Northwestern University
152.0,161.0,4.0,3.79,University Of Texas At Austin
159.0,163.0,4.0,3.9,Duke University
162.0,170.0,3.5,3.89,University Of Washington
160.0,169.0,4.0,3.9,Johns Hopkins University
164.0,168.0,4.0,3.9,Duke University
160.0,167.0,0.0,3.9,University Of Toronto
158.0,154.0,4.5,4.0,Arizona State University
170.0,158.0,4.5,3.41,"University Of California, Los Angeles (UCLA)"
153.0,168.0,4.0,3.9,Columbia University
150.0,152.0,4.0,3.7,Penn State (Pennsylvania State University)
148.0,168.0,3.5,3.44,Duke University
159.0,154.0,5.0,4.0,George Mason University
155.0,162.0,4.5,3.77,University Of Pennsylvania
160.0,156.0,3.5,2.66,University Of Southern California
147.0,170.0,3.0,3.98,University Of Pittsburgh
165.0,151.0,4.5,3.82,"University Of California, Davis"
160.0,162.0,4.0,3.9,Arizona State University
157.0,170.0,3.5,4.0,University Of Wisconsin-Madison
141.0,145.0,3.0,2.5,Purdue University
160.0,160.0,4.0,3.4,University Of Southern California
170.0,165.0,4.5,3.96,Stanford University
170.0,165.0,4.5,3.96,University Of Washington
151.0,164.0,3.5,3.95,Brown University
157.0,169.0,4.5,3.93,University Of Michigan
158.0,169.0,4.5,3.7,University Of Michigan
157.0,170.0,3.5,3.73,University Of Michigan
162.0,169.0,5.0,3.61,University Of Michigan
154.0,169.0,4.0,9.3,"University Of Colorado, Boulder"
163.0,170.0,4.0,3.96,Stanford University
150.0,170.0,4.0,2.76,Boston University
163.0,167.0,3.5,3.92,"University Of Michigan, Ann Arbor"
160.0,167.0,3.5,3.85,Johns Hopkins University
147.0,167.0,3.0,3.3,Purdue University - West Lafayette
147.0,167.0,3.0,3.3,North Carolina State University
158.0,168.0,4.5,3.66,Stanford University
163.0,170.0,5.0,3.7,Cornell University
